Date,Open,High,Low,Close,Volume,Adj Close
2013-11-25,1037.16,1053.19,1035.02,1045.93,1613000,1045.93
2013-11-22,1033.42,1036.17,1029.22,1031.89,1254200,1031.89
2013-11-21,1027.00,1038.31,1026.00,1034.07,1091800,1034.07
2013-11-20,1029.95,1033.36,1020.36,1022.31,963700,1022.31
2013-11-19,1031.72,1034.75,1023.05,1025.20,1116400,1025.20
2013-11-18,1035.75,1048.74,1029.24,1031.55,1759700,1031.55
2013-11-15,1034.87,1038.00,1030.31,1033.56,1276300,1033.56
2013-11-14,1033.92,1039.75,1030.35,1035.23,1166700,1035.23
2013-11-13,1006.75,1032.85,1006.50,1032.47,1579400,1032.47
2013-11-12,1007.70,1017.56,1005.00,1011.78,1218100,1011.78
2013-11-11,1009.51,1015.93,1008.00,1010.59,1112600,1010.59
2013-11-08,1008.75,1018.50,1008.50,1016.03,1290800,1016.03
2013-11-07,1022.61,1023.93,1007.64,1007.95,1679600,1007.95
2013-11-06,1025.60,1027.00,1015.37,1022.75,912900,1022.75
2013-11-05,1020.35,1031.65,1017.42,1021.52,1181400,1021.52
2013-11-04,1031.50,1032.37,1022.03,1026.11,1138800,1026.11
2013-11-01,1031.79,1036.00,1025.10,1027.04,1283300,1027.04
2013-10-31,1028.93,1041.52,1023.97,1030.58,1616400,1030.58
2013-10-30,1037.43,1037.51,1026.00,1030.42,1324100,1030.42
2013-10-29,1019.10,1036.94,1013.50,1036.24,1605000,1036.24
2013-10-28,1015.20,1023.43,1012.99,1015.00,1158700,1015.00
2013-10-25,1028.82,1028.82,1010.74,1015.20,2030500,1015.20
2013-10-24,1031.87,1040.57,1024.80,1025.55,2092100,1025.55
2013-10-23,1001.00,1034.75,1000.63,1031.41,2663200,1031.41
2013-10-22,1005.00,1013.00,995.79,1007.00,2208600,1007.00
2013-10-21,1011.46,1019.00,999.55,1003.30,3628300,1003.30
2013-10-18,976.58,1015.46,974.00,1011.41,11566400,1011.41
2013-10-17,892.99,896.90,885.73,888.79,4256600,888.79
2013-10-16,885.87,898.33,884.01,898.03,2007600,898.03
2013-10-15,875.76,885.63,874.00,882.01,1591900,882.01
2013-10-14,866.66,876.25,865.39,876.11,1243600,876.11
2013-10-11,866.03,873.48,865.30,871.99,1408900,871.99
2013-10-10,863.84,868.83,860.21,868.24,2255300,868.24
2013-10-09,856.28,862.65,842.98,855.86,2651300,855.86
2013-10-08,865.32,865.98,851.63,853.67,1943700,853.67
2013-10-07,867.45,873.99,864.11,865.74,1293600,865.74
2013-10-04,875.00,877.51,870.00,872.35,1358000,872.35
2013-10-03,888.00,894.10,872.10,876.09,2117000,876.09
2013-10-02,882.73,889.36,877.82,887.99,1495300,887.99
2013-10-01,880.25,887.67,880.05,887.00,1684800,887.00
2013-09-30,869.08,880.84,868.31,875.91,1722400,875.91
2013-09-27,874.82,877.52,871.31,876.39,1258800,876.39
2013-09-26,878.30,882.75,875.00,878.17,1259900,878.17
